amount,hour,country_risk,txn_type,account_age_days,num_txn_24h,is_fraud
849.8596596144329,1,0,0,855.0142100301744,2,0
327.8655278464974,23,0,0,876.4353777722897,1,0
1065.8552496139139,12,0,0,553.0102852934373,1,0
3962.1606914933213,5,0,0,2.5747191435516714,2,0
283.9419846565526,4,0,0,21.529974490619804,2,0
283.9489772857208,0,2,0,93.14104287517519,1,0
4310.543267339833,20,0,0,51.397225081573424,2,0
1275.5746905529072,21,0,0,185.74395667932376,1,0
199.49484992762234,20,0,0,934.0592545715174,0,1
910.3599451082383,5,0,0,233.15231309462143,1,0
201.31552649244549,5,2,1,4.925037085998436,0,0
200.61855517793506,22,0,0,121.29855728849734,1,0
579.9508782892201,15,0,0,16.65124478499467,0,0
22.87580113888666,3,0,2,13.491273298215328,1,0
30.34474182409746,10,0,1,117.7406116435336,3,0
173.5678702928071,23,2,1,117.6864339198198,2,0
88.30116661745667,22,0,1,564.6760489648586,2,0
646.3692913553105,8,0,0,1344.0348795227565,4,0
103.33373405117743,22,0,0,169.34296164029607,1,0
48.49906153668047,2,0,0,204.4613121055322,0,0
3635.3953765133347,18,0,0,679.9850020594151,0,0
287.53239992245125,7,2,0,113.94011594560413,1,0
446.43432767849305,4,1,0,62.07017049282179,0,0
47.60214011756904,3,0,0,700.0453848211004,0,0
178.292580795944,23,0,1,17.380011178156217,5,0
476.4600526153017,5,0,1,352.8795880988622,1,0
71.77309137448707,1,0,0,301.31481414541594,0,0
708.7813079342216,19,0,1,154.952097681134,1,0
163.86484384006783,10,0,0,138.19380052957254,1,0
260.4626246088754,3,2,1,539.3918303824959,2,0
163.60256158496938,14,0,0,32.992123213979106,0,0
6492.593059139986,5,0,2,98.62832899307297,0,0
395.34316618767946,21,0,0,481.232087130389,2,0
82.55242999407577,16,0,0,290.0956514903474,1,0
1385.501390837298,23,0,0,49.987601486860754,1,0
64.63360812014079,5,0,0,780.4505149903162,2,0
551.8605527356609,18,0,0,182.487065665932,2,0
21.3381129511043,1,0,0,642.2159798026752,0,0
55.02132991307172,14,0,0,565.6829200793157,0,0
542.0140121624321,10,0,0,357.44387322304124,0,0
1221.3350833430666,7,0,0,248.9920187572368,2,0
521.678982046814,18,0,1,1419.7819245070607,0,0
339.1788591707975,12,0,0,57.16373034962967,0,0
256.81204029895827,11,0,0,471.41597765700806,0,0
43.91329029409061,4,0,0,77.4501218423977,2,0
137.03463271315954,5,0,1,150.7038433754227,2,0
202.15643806929353,21,0,0,134.75054606456885,2,0
1969.7922106240433,3,0,2,1072.4220526509334,1,0
675.4826243048512,18,1,1,1249.0663735885432,0,0
28.658204351225507,19,0,0,73.77930708090362,1,0
655.9771487351683,0,0,0,8.132769698578171,1,0
226.41658056884236,19,0,1,464.64295209729687,2,0
146.14758971170875,16,0,1,197.56265051045696,0,0
1009.8069301160646,11,0,0,33.95851775789739,3,0
1894.1004035972026,14,0,0,420.2008556965613,1,0
